tau,delay,p,q,prob_large,mean_R_inf,std_R_inf
2,1.0,0.7777777777777777,0.38888888888888884,0.8,0.40831599999999996,0.06812385472306538
2,1.0,0.7777777777777777,0.4444444444444444,0.376,0.33561599999999997,0.05010178940122618
2,1.0,0.7777777777777777,0.5,0.092,0.29269599999999996,0.042754219407076466
2,1.0,0.8888888888888888,0.0,1.0,0.8944000000000001,0.022963739532866467
2,1.0,0.8888888888888888,0.05555555555555555,1.0,0.876696,0.029705441201029022
2,1.0,0.8888888888888888,0.1111111111111111,1.0,0.8564680000000001,0.03284967856046851
2,1.0,0.8888888888888888,0.16666666666666666,1.0,0.8242719999999999,0.03809528868613967
2,1.0,0.8888888888888888,0.2222222222222222,1.0,0.741544,0.05573135562679236
2,1.0,0.8888888888888888,0.2777777777777778,1.0,0.6189279999999999,0.07360260995896195
2,1.0,0.8888888888888888,0.3333333333333333,0.968,0.497956,0.07543306072672917
2,1.0,0.8888888888888888,0.38888888888888884,0.816,0.406604,0.06538037594135516
2,1.0,0.8888888888888888,0.4444444444444444,0.376,0.33724800000000005,0.050443838268683594
2,1.0,0.8888888888888888,0.5,0.084,0.29140799999999994,0.04324091398860898
2,1.0,1.0,0.0,1.0,0.8944000000000001,0.022963739532866467
2,1.0,1.0,0.05555555555555555,1.0,0.8818680000000001,0.028283607013653903
2,1.0,1.0,0.1111111111111111,1.0,0.86382,0.0316125451687806
2,1.0,1.0,0.16666666666666666,1.0,0.826372,0.04187763797361302
2,1.0,1.0,0.2222222222222222,1.0,0.7426800000000001,0.05258599382904116
2,1.0,1.0,0.2777777777777778,0.996,0.6188720000000001,0.07287475926651568
2,1.0,1.0,0.3333333333333333,0.98,0.498904,0.07375759973095851
2,1.0,1.0,0.38888888888888884,0.792,0.404312,0.06403348973177173
2,1.0,1.0,0.4444444444444444,0.392,0.33524400000000004,0.05287228364190486
2,1.0,1.0,0.5,0.08,0.289856,0.039139787375805875
4,0.0,0.0,0.0,1.0,0.896924,0.022245937853999715
4,0.0,0.0,0.05555555555555555,1.0,0.851452,0.02790560134355435
4,0.0,0.0,0.1111111111111111,1.0,0.8022360000000001,0.0336333332935309
4,0.0,0.0,0.16666666666666666,1.0,0.7408920000000001,0.040912193369031936
4,0.0,0.0,0.2222222222222222,1.0,0.6806639999999999,0.044158794145692036
4,0.0,0.0,0.2777777777777778,1.0,0.617004,0.044127826189114594
4,0.0,0.0,0.3333333333333333,1.0,0.5621759999999999,0.048673168515449367
4,0.0,0.0,0.38888888888888884,1.0,0.519796,0.04464103124573547
4,0.0,0.0,0.4444444444444444,1.0,0.48194000000000004,0.04388173683104667
4,0.0,0.0,0.5,0.988,0.452084,0.04112949654376739
4,0.0,0.1111111111111111,0.0,1.0,0.896924,0.022245937853999715
4,0.0,0.1111111111111111,0.05555555555555555,1.0,0.857004,0.027076197404056847
4,0.0,0.1111111111111111,0.1111111111111111,1.0,0.8067639999999999,0.035735253425005914
4,0.0,0.1111111111111111,0.16666666666666666,1.0,0.746904,0.040302057109146645
4,0.0,0.1111111111111111,0.2222222222222222,1.0,0.6847799999999999,0.04694733013951822
4,0.0,0.1111111111111111,0.2777777777777778,1.0,0.6229880000000001,0.04866288278187567
4,0.0,0.1111111111111111,0.3333333333333333,1.0,0.56762,0.05122644036794945
4,0.0,0.1111111111111111,0.38888888888888884,0.996,0.5177439999999999,0.049064240161757346
4,0.0,0.1111111111111111,0.4444444444444444,0.996,0.478476,0.046438989469753625
4,0.0,0.1111111111111111,0.5,0.968,0.44186000000000003,0.04401451476547435
4,0.0,0.2222222222222222,0.0,1.0,0.896924,0.022245937853999715
4,0.0,0.2222222222222222,0.05555555555555555,1.0,0.857568,0.027594404880752394
4,0.0,0.2222222222222222,0.1111111111111111,1.0,0.8105319999999999,0.03553776451645923
4,0.0,0.2222222222222222,0.16666666666666666,1.0,0.75592,0.038321740869814
4,0.0,0.2222222222222222,0.2222222222222222,1.0,0.695528,0.04515863622501027
4,0.0,0.2222222222222222,0.2777777777777778,1.0,0.63022,0.049712381591854336
4,0.0,0.2222222222222222,0.3333333333333333,1.0,0.56764,0.053085579161006036
4,0.0,0.2222222222222222,0.38888888888888884,0.992,0.513292,0.053147656860099465
4,0.0,0.2222222222222222,0.4444444444444444,0.984,0.46994,0.04810280573603491
4,0.0,0.2222222222222222,0.5,0.944,0.43048400000000003,0.048236717005512283
4,0.0,0.3333333333333333,0.0,1.0,0.896924,0.022245937853999715
