R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.3125,6.0,0.0,0.5,0.305,0.004,0.66074
1.3125,6.0,0.0,0.615,0.415,0.004,0.66074
1.3125,6.0,0.25,0.945,0.25,0.004,0.6672680000000001
1.3125,6.0,0.25,0.84,0.44,0.004,0.663944
1.3125,6.0,0.25,0.275,0.47,0.004,0.663916
1.3125,6.0,0.25,0.055,0.36,0.004,0.669144
1.3125,6.0,0.25,0.5,0.305,0.004,0.666046
1.3125,6.0,0.25,0.615,0.415,0.004,0.6642939999999999
1.3125,6.0,0.5,0.945,0.25,0.004,0.671344
1.3125,6.0,0.5,0.84,0.44,0.004,0.6663040000000001
1.3125,6.0,0.5,0.275,0.47,0.004,0.665982
1.3125,6.0,0.5,0.055,0.36,0.004,0.669772
1.3125,6.0,0.5,0.5,0.305,0.004,0.66986
1.3125,6.0,0.5,0.615,0.415,0.004,0.66687
1.3125,6.0,0.75,0.945,0.25,0.002,0.6738959999999999
1.3125,6.0,0.75,0.84,0.44,0.004,0.6678959999999999
1.3125,6.0,0.75,0.275,0.47,0.004,0.667074
1.3125,6.0,0.75,0.055,0.36,0.004,0.670806
1.3125,6.0,0.75,0.5,0.305,0.004,0.672126
1.3125,6.0,0.75,0.615,0.415,0.004,0.668434
1.3125,6.0,1.0,0.945,0.25,0.004,0.675686
1.3125,6.0,1.0,0.84,0.44,0.004,0.669076
1.3125,6.0,1.0,0.275,0.47,0.004,0.667976
1.3125,6.0,1.0,0.055,0.36,0.004,0.6710640000000001
1.3125,6.0,1.0,0.5,0.305,0.004,0.672962
1.3125,6.0,1.0,0.615,0.415,0.004,0.66944
1.3125,6.0,1.25,0.945,0.25,0.004,0.677702
1.3125,6.0,1.25,0.84,0.44,0.004,0.669528
1.3125,6.0,1.25,0.275,0.47,0.004,0.668922
1.3125,6.0,1.25,0.055,0.36,0.004,0.6711999999999999
1.3125,6.0,1.25,0.5,0.305,0.004,0.6744220000000001
1.3125,6.0,1.25,0.615,0.415,0.004,0.6704199999999999
1.3125,6.0,1.5,0.945,0.25,0.004,0.679494
1.3125,6.0,1.5,0.84,0.44,0.004,0.670098
1.3125,6.0,1.5,0.275,0.47,0.004,0.6692619999999999
1.3125,6.0,1.5,0.055,0.36,0.004,0.6709579999999999
1.3125,6.0,1.5,0.5,0.305,0.004,0.675948
1.3125,6.0,1.5,0.615,0.415,0.004,0.670882
1.3125,6.0,2.0,0.945,0.25,0.002,0.6812480000000001
1.3125,6.0,2.0,0.84,0.44,0.004,0.671002
1.3125,6.0,2.0,0.275,0.47,0.004,0.67031
1.3125,6.0,2.0,0.055,0.36,0.004,0.671106
1.3125,6.0,2.0,0.5,0.305,0.004,0.678616
1.3125,6.0,2.0,0.615,0.415,0.004,0.6723779999999999
1.375,5.5,0.0,0.945,0.25,0.0,0.6842919999999999
1.375,5.5,0.0,0.84,0.44,0.0,0.6842919999999999
1.375,5.5,0.0,0.275,0.47,0.0,0.6842919999999999
1.375,5.5,0.0,0.055,0.36,0.0,0.693222
1.375,5.5,0.0,0.5,0.305,0.0,0.6842919999999999
1.375,5.5,0.0,0.615,0.415,0.0,0.6842919999999999
1.375,5.5,0.25,0.945,0.25,0.0,0.6926359999999999
1.375,5.5,0.25,0.84,0.44,0.0,0.6885540000000001
1.375,5.5,0.25,0.275,0.47,0.0,0.688232
1.375,5.5,0.25,0.055,0.36,0.0,0.69469
1.375,5.5,0.25,0.5,0.305,0.0,0.690894
1.375,5.5,0.25,0.615,0.415,0.0,0.68899
1.375,5.5,0.5,0.945,0.25,0.0,0.697594
1.375,5.5,0.5,0.84,0.44,0.0,0.691184
1.375,5.5,0.5,0.275,0.47,0.0,0.690666
1.375,5.5,0.5,0.055,0.36,0.0,0.695522
1.375,5.5,0.5,0.5,0.305,0.0,0.695592
