p,q,tau,R0,critical_delay,status
0.84,0.44,3.0,1.25,0.20693970420932845,crossed
0.84,0.44,3.0,1.3125,0.0,always_outbreak
0.84,0.44,3.0,1.375,0.0,always_outbreak
0.84,0.44,3.0,1.4375,0.0,always_outbreak
0.84,0.44,3.0,1.5,0.0,always_outbreak
0.84,0.44,3.0,1.75,0.0,always_outbreak
0.84,0.44,3.5,1.125,,always_dieout
0.84,0.44,3.5,1.25,0.0,always_outbreak
0.84,0.44,3.5,1.3125,0.0,always_outbreak
0.84,0.44,3.5,1.375,0.0,always_outbreak
0.84,0.44,3.5,1.4375,0.0,always_outbreak
0.84,0.44,3.5,1.5,0.0,always_outbreak
0.84,0.44,3.5,1.75,0.0,always_outbreak
0.84,0.44,4.0,1.125,1.4624746450304302,crossed
0.84,0.44,4.0,1.25,0.0,always_outbreak
0.84,0.44,4.0,1.3125,0.0,always_outbreak
0.84,0.44,4.0,1.375,0.0,always_outbreak
0.84,0.44,4.0,1.4375,0.0,always_outbreak
0.84,0.44,4.0,1.5,0.0,always_outbreak
0.84,0.44,4.0,1.75,0.0,always_outbreak
0.84,0.44,4.5,1.125,0.3495770503861725,crossed
0.84,0.44,4.5,1.25,0.0,always_outbreak
0.84,0.44,4.5,1.3125,0.0,always_outbreak
0.84,0.44,4.5,1.375,0.0,always_outbreak
0.84,0.44,4.5,1.4375,0.0,always_outbreak
0.84,0.44,4.5,1.5,0.0,always_outbreak
0.84,0.44,4.5,1.75,0.0,always_outbreak
0.84,0.44,5.0,1.125,0.0,always_outbreak
0.84,0.44,5.0,1.25,0.0,always_outbreak
0.84,0.44,5.0,1.3125,0.0,always_outbreak
0.84,0.44,5.0,1.375,0.0,always_outbreak
0.84,0.44,5.0,1.4375,0.0,always_outbreak
0.84,0.44,5.0,1.5,0.0,always_outbreak
0.84,0.44,5.0,1.75,0.0,always_outbreak
0.84,0.44,5.5,1.125,0.0,always_outbreak
0.84,0.44,5.5,1.25,0.0,always_outbreak
0.84,0.44,5.5,1.3125,0.0,always_outbreak
0.84,0.44,5.5,1.375,0.0,always_outbreak
0.84,0.44,5.5,1.4375,0.0,always_outbreak
0.84,0.44,5.5,1.5,0.0,always_outbreak
0.84,0.44,5.5,1.75,0.0,always_outbreak
0.84,0.44,6.0,1.125,0.0,always_outbreak
0.84,0.44,6.0,1.25,0.0,always_outbreak
0.84,0.44,6.0,1.3125,0.0,always_outbreak
0.84,0.44,6.0,1.375,0.0,always_outbreak
0.84,0.44,6.0,1.4375,0.0,always_outbreak
0.84,0.44,6.0,1.5,0.0,always_outbreak
0.84,0.44,6.0,1.75,0.0,always_outbreak
0.945,0.25,2.5,1.125,0.9174634909596666,crossed
0.945,0.25,2.5,1.25,0.17933367745410475,crossed
0.945,0.25,2.5,1.3125,0.05117530296698703,crossed
0.945,0.25,2.5,1.375,0.0,always_outbreak
0.945,0.25,2.5,1.4375,0.0,always_outbreak
0.945,0.25,2.5,1.5,0.0,always_outbreak
0.945,0.25,2.5,1.75,0.0,always_outbreak
0.945,0.25,3.0,1.125,0.7419446983546617,crossed
0.945,0.25,3.0,1.25,0.07843137254901966,crossed
0.945,0.25,3.0,1.3125,0.0,always_outbreak
0.945,0.25,3.0,1.375,0.0,always_outbreak
0.945,0.25,3.0,1.4375,0.0,always_outbreak
0.945,0.25,3.0,1.5,0.0,always_outbreak
0.945,0.25,3.0,1.75,0.0,always_outbreak
0.945,0.25,3.5,1.125,0.551937645687646,crossed
0.945,0.25,3.5,1.25,0.0,always_outbreak
0.945,0.25,3.5,1.3125,0.0,always_outbreak
0.945,0.25,3.5,1.375,0.0,always_outbreak
0.945,0.25,3.5,1.4375,0.0,always_outbreak
0.945,0.25,3.5,1.5,0.0,always_outbreak
0.945,0.25,3.5,1.75,0.0,always_outbreak
0.945,0.25,4.0,1.125,0.381812899477049,crossed
0.945,0.25,4.0,1.25,0.0,always_outbreak
0.945,0.25,4.0,1.3125,0.0,always_outbreak
0.945,0.25,4.0,1.375,0.0,always_outbreak
0.945,0.25,4.0,1.4375,0.0,always_outbreak
0.945,0.25,4.0,1.5,0.0,always_outbreak
0.945,0.25,4.0,1.75,0.0,always_outbreak
0.945,0.25,4.5,1.125,0.14973139787404263,crossed
0.945,0.25,4.5,1.25,0.0,always_outbreak
0.945,0.25,4.5,1.3125,0.0,always_outbreak
0.945,0.25,4.5,1.375,0.0,always_outbreak
0.945,0.25,4.5,1.4375,0.0,always_outbreak
0.945,0.25,4.5,1.5,0.0,always_outbreak
0.945,0.25,4.5,1.75,0.0,always_outbreak
0.945,0.25,5.0,1.125,0.0,always_outbreak
0.945,0.25,5.0,1.25,0.0,always_outbreak
0.945,0.25,5.0,1.3125,0.0,always_outbreak
0.945,0.25,5.0,1.375,0.0,always_outbreak
0.945,0.25,5.0,1.4375,0.0,always_outbreak
0.945,0.25,5.0,1.5,0.0,always_outbreak
0.945,0.25,5.0,1.75,0.0,always_outbreak
0.945,0.25,5.5,1.125,0.0,always_outbreak
0.945,0.25,5.5,1.25,0.0,always_outbreak
0.945,0.25,5.5,1.3125,0.0,always_outbreak
0.945,0.25,5.5,1.375,0.0,always_outbreak
0.945,0.25,5.5,1.4375,0.0,always_outbreak
0.945,0.25,5.5,1.5,0.0,always_outbreak
0.945,0.25,5.5,1.75,0.0,always_outbreak
0.945,0.25,6.0,1.125,0.0,always_outbreak
0.945,0.25,6.0,1.25,0.0,always_outbreak
0.945,0.25,6.0,1.3125,0.0,always_outbreak
0.945,0.25,6.0,1.375,0.0,always_outbreak
0.945,0.25,6.0,1.4375,0.0,always_outbreak
0.945,0.25,6.0,1.5,0.0,always_outbreak
0.945,0.25,6.0,1.75,0.0,always_outbreak
