R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.75,4.0,0.5,0.055,0.36,0.0,0.8224360000000001
1.75,4.0,0.75,0.055,0.36,0.0,0.8224920000000001
1.75,4.0,1.0,0.055,0.36,0.0,0.82321
1.75,4.0,1.25,0.055,0.36,0.0,0.822494
1.75,4.0,1.5,0.055,0.36,0.0,0.82331
1.75,4.0,2.0,0.055,0.36,0.0,0.822632
1.125,4.5,0.0,0.055,0.36,0.434,0.5086660000000001
1.125,4.5,0.25,0.055,0.36,0.394,0.510774
1.125,4.5,0.5,0.055,0.36,0.382,0.512602
1.125,4.5,0.75,0.055,0.36,0.384,0.512738
1.125,4.5,1.0,0.055,0.36,0.376,0.5139239999999999
1.125,4.5,1.25,0.055,0.36,0.382,0.51389
1.125,4.5,1.5,0.055,0.36,0.37,0.5143340000000001
1.125,4.5,2.0,0.055,0.36,0.366,0.5149459999999999
1.25,4.5,0.0,0.055,0.36,0.068,0.592376
1.25,4.5,0.25,0.055,0.36,0.064,0.595212
1.25,4.5,0.5,0.055,0.36,0.07,0.59617
1.25,4.5,0.75,0.055,0.36,0.062,0.597424
1.25,4.5,1.0,0.055,0.36,0.066,0.597538
1.25,4.5,1.25,0.055,0.36,0.066,0.597844
1.25,4.5,1.5,0.055,0.36,0.064,0.597392
1.25,4.5,2.0,0.055,0.36,0.054,0.597492
1.3125,4.5,0.0,0.055,0.36,0.014,0.637548
1.3125,4.5,0.25,0.055,0.36,0.01,0.639818
1.3125,4.5,0.5,0.055,0.36,0.008,0.6415460000000001
1.3125,4.5,0.75,0.055,0.36,0.01,0.641606
1.3125,4.5,1.0,0.055,0.36,0.008,0.6412640000000001
1.3125,4.5,1.25,0.055,0.36,0.016,0.641654
1.3125,4.5,1.5,0.055,0.36,0.014,0.64175
1.3125,4.5,2.0,0.055,0.36,0.016,0.642394
1.375,4.5,0.0,0.055,0.36,0.002,0.6722180000000001
1.375,4.5,0.25,0.055,0.36,0.002,0.6743060000000001
1.375,4.5,0.5,0.055,0.36,0.002,0.6749959999999999
1.375,4.5,0.75,0.055,0.36,0.0,0.6754819999999999
1.375,4.5,1.0,0.055,0.36,0.0,0.6758540000000001
1.375,4.5,1.25,0.055,0.36,0.002,0.67647
1.375,4.5,1.5,0.055,0.36,0.002,0.6759700000000001
1.375,4.5,2.0,0.055,0.36,0.0,0.676256
1.4375,4.5,0.0,0.055,0.36,0.0,0.7074179999999999
1.4375,4.5,0.25,0.055,0.36,0.0,0.7085260000000001
1.4375,4.5,0.5,0.055,0.36,0.0,0.70975
1.4375,4.5,0.75,0.055,0.36,0.0,0.710238
1.4375,4.5,1.0,0.055,0.36,0.0,0.710658
1.4375,4.5,1.25,0.055,0.36,0.0,0.7106480000000001
1.4375,4.5,1.5,0.055,0.36,0.0,0.710472
1.4375,4.5,2.0,0.055,0.36,0.0,0.711332
1.5,4.5,0.0,0.055,0.36,0.0,0.735698
1.5,4.5,0.25,0.055,0.36,0.0,0.736692
1.5,4.5,0.5,0.055,0.36,0.0,0.737606
1.5,4.5,0.75,0.055,0.36,0.0,0.7385740000000001
1.5,4.5,1.0,0.055,0.36,0.0,0.7393040000000001
1.5,4.5,1.25,0.055,0.36,0.0,0.7389819999999999
1.5,4.5,1.5,0.055,0.36,0.0,0.738568
1.5,4.5,2.0,0.055,0.36,0.0,0.7394359999999999
1.75,4.5,0.0,0.055,0.36,0.0,0.8306939999999999
1.75,4.5,0.25,0.055,0.36,0.0,0.831414
1.75,4.5,0.5,0.055,0.36,0.0,0.831898
1.75,4.5,0.75,0.055,0.36,0.0,0.832166
1.75,4.5,1.0,0.055,0.36,0.0,0.832298
1.75,4.5,1.25,0.055,0.36,0.0,0.832476
1.75,4.5,1.5,0.055,0.36,0.0,0.8324579999999999
1.75,4.5,2.0,0.055,0.36,0.0,0.8323780000000001
1.125,5.0,0.0,0.055,0.36,0.334,0.5205620000000001
