p,q,tau,R0,is_monotonic,max_drop,n_violating_steps,n_delay_points
0.945,0.25,3.5,1.3125,True,0.0019360000000000488,0,8
0.945,0.25,3.5,1.375,True,0.0023400000000001198,0,8
0.945,0.25,3.5,1.4375,True,-0.0006519999999998749,0,8
0.945,0.25,3.5,1.5,True,0.0013279999999999959,0,8
0.945,0.25,3.5,1.75,True,0.0015000000000000568,0,8
0.945,0.25,4.0,1.125,True,0.004802000000000084,0,8
0.945,0.25,4.0,1.25,True,0.00374999999999992,0,8
0.945,0.25,4.0,1.3125,True,0.0032079999999999886,0,8
0.945,0.25,4.0,1.375,True,0.0031240000000000157,0,8
0.945,0.25,4.0,1.4375,True,0.00028199999999989345,0,8
0.945,0.25,4.0,1.5,True,0.0015680000000000138,0,8
0.945,0.25,4.0,1.75,True,-0.0001220000000000665,0,8
0.945,0.25,4.5,1.125,True,0.0019400000000000528,0,8
0.945,0.25,4.5,1.25,True,0.004710000000000103,0,8
0.945,0.25,4.5,1.3125,True,0.0036039999999999406,0,8
0.945,0.25,4.5,1.375,True,0.0045039999999998415,0,8
0.945,0.25,4.5,1.4375,True,0.0019639999999998548,0,8
0.945,0.25,4.5,1.5,True,0.00279000000000007,0,8
0.945,0.25,4.5,1.75,True,0.0009499999999998954,0,8
0.945,0.25,5.0,1.125,True,0.0016659999999999453,0,8
0.945,0.25,5.0,1.25,True,0.0030600000000000627,0,8
0.945,0.25,5.0,1.3125,True,0.0038839999999999986,0,8
0.945,0.25,5.0,1.375,True,0.0015100000000000113,0,8
0.945,0.25,5.0,1.4375,True,0.0023579999999999712,0,8
0.945,0.25,5.0,1.5,True,0.0024980000000001112,0,8
0.945,0.25,5.0,1.75,True,0.0011180000000000634,0,8
0.945,0.25,5.5,1.125,True,0.0020900000000000363,0,8
0.945,0.25,5.5,1.25,True,0.0014820000000000944,0,8
0.945,0.25,5.5,1.3125,True,0.0019140000000000823,0,8
0.945,0.25,5.5,1.375,True,0.0014399999999999968,0,8
0.945,0.25,5.5,1.4375,True,0.0015120000000000688,0,8
0.945,0.25,5.5,1.5,True,0.0015479999999999938,0,8
0.945,0.25,5.5,1.75,True,0.0006519999999999859,0,8
0.945,0.25,6.0,1.125,True,0.0009959999999999969,0,8
0.945,0.25,6.0,1.25,True,0.0012279999999998958,0,8
0.945,0.25,6.0,1.3125,True,0.0017540000000000333,0,8
0.945,0.25,6.0,1.375,True,0.0009759999999999769,0,8
0.945,0.25,6.0,1.4375,True,0.0005060000000000064,0,8
0.945,0.25,6.0,1.5,True,0.00036799999999992394,0,8
0.945,0.25,6.0,1.75,True,0.00017400000000000748,0,8
