p,q,tau,k,beta,gamma,mean_r_inf
0.7777777777777777,0.5,5,4,0.2936731640385577,0.2970409495405112,0.43899999999999995
0.8888888888888888,0.0,5,5,0.5023353353763206,0.3412351674391114,0.9872399999999999
0.8888888888888888,0.05555555555555555,5,4,0.44807887201643637,0.1805775451364458,0.9905199999999998
0.8888888888888888,0.1111111111111111,5,5,0.2961877832954474,0.1453726946072948,0.9927199999999999
0.8888888888888888,0.16666666666666666,5,4,0.4391815719208551,0.3806871905040593,0.8817600000000001
0.8888888888888888,0.2222222222222222,5,4,0.4824252737042839,0.36440482348907927,0.9079200000000001
0.8888888888888888,0.2777777777777778,5,3,0.5063450816311856,0.3288697642712578,0.5441999999999999
0.8888888888888888,0.3333333333333333,5,3,0.259721762215729,0.12265124334460435,0.26248000000000005
0.8888888888888888,0.38888888888888884,5,5,0.259418513666898,0.1405548273991361,0.97252
0.8888888888888888,0.4444444444444444,5,3,0.422308334165743,0.17666501148145894,0.5644
0.8888888888888888,0.5,5,5,0.4919343263991,0.1099954424231742,0.9984399999999999
1.0,0.0,5,3,0.5204600519607155,0.2568997104864034,0.9110400000000001
1.0,0.05555555555555555,5,4,0.3829018056706389,0.350875065291381,0.89276
1.0,0.1111111111111111,5,5,0.44928159510090365,0.33119306733062187,0.9778800000000001
1.0,0.16666666666666666,5,4,0.32467488732759187,0.15272903673297794,0.9741199999999999
1.0,0.2222222222222222,5,4,0.4147105036015259,0.26626965945245173,0.93736
1.0,0.2777777777777778,5,3,0.27380587503182563,0.14065056996877578,0.4306799999999999
1.0,0.3333333333333333,5,4,0.3613772606668489,0.3841245239677344,0.6033999999999999
1.0,0.38888888888888884,5,4,0.3197257653970124,0.3646059826806606,0.45612
1.0,0.4444444444444444,5,3,0.37377710913640183,0.31156249767760874,0.29144000000000003
1.0,0.5,5,3,0.3067957492999843,0.10662830495227929,0.3376
