p,q,tau,mean_r_inf
0.6842105263157894,0.3421052631578947,5,0.5397000000000001
0.6842105263157894,0.3684210526315789,5,0.5488000000000001
0.6842105263157894,0.39473684210526316,5,0.45899999999999996
0.6842105263157894,0.42105263157894735,5,0.4685
0.6842105263157894,0.4473684210526315,5,0.4375
0.6842105263157894,0.47368421052631576,5,0.43
0.6842105263157894,0.5,5,0.43000000000000005
0.7368421052631579,0.0,5,0.8143
0.7368421052631579,0.02631578947368421,5,0.8197999999999999
0.7368421052631579,0.05263157894736842,5,0.7929999999999999
0.7368421052631579,0.07894736842105263,5,0.7722
0.7368421052631579,0.10526315789473684,5,0.7766
0.7368421052631579,0.13157894736842105,5,0.7459
0.7368421052631579,0.15789473684210525,5,0.7243
0.7368421052631579,0.18421052631578946,5,0.7135
0.7368421052631579,0.21052631578947367,5,0.7119
0.7368421052631579,0.23684210526315788,5,0.6637
0.7368421052631579,0.2631578947368421,5,0.6256999999999999
0.7368421052631579,0.2894736842105263,5,0.6064
0.7368421052631579,0.3157894736842105,5,0.5669
0.7368421052631579,0.3421052631578947,5,0.5660999999999999
0.7368421052631579,0.3684210526315789,5,0.4534000000000001
0.7368421052631579,0.39473684210526316,5,0.4560999999999999
0.7368421052631579,0.42105263157894735,5,0.4321
0.7368421052631579,0.4473684210526315,5,0.45289999999999997
0.7368421052631579,0.47368421052631576,5,0.4328
0.7368421052631579,0.5,5,0.4495
0.7894736842105263,0.0,5,0.8170999999999999
0.7894736842105263,0.02631578947368421,5,0.8177999999999999
0.7894736842105263,0.05263157894736842,5,0.79
0.7894736842105263,0.07894736842105263,5,0.7928
0.7894736842105263,0.10526315789473684,5,0.7792
0.7894736842105263,0.13157894736842105,5,0.7729
0.7894736842105263,0.15789473684210525,5,0.7140000000000001
0.7894736842105263,0.18421052631578946,5,0.7324000000000002
0.7894736842105263,0.21052631578947367,5,0.6662
0.7894736842105263,0.23684210526315788,5,0.6731
0.7894736842105263,0.2631578947368421,5,0.64
0.7894736842105263,0.2894736842105263,5,0.6086
0.7894736842105263,0.3157894736842105,5,0.5395999999999999
0.7894736842105263,0.3421052631578947,5,0.5660999999999999
0.7894736842105263,0.3684210526315789,5,0.4593
0.7894736842105263,0.39473684210526316,5,0.4843
0.7894736842105263,0.42105263157894735,5,0.4741000000000001
0.7894736842105263,0.4473684210526315,5,0.4383
0.7894736842105263,0.47368421052631576,5,0.41109999999999997
0.7894736842105263,0.5,5,0.42990000000000006
0.8421052631578947,0.0,5,0.8475999999999999
0.8421052631578947,0.02631578947368421,5,0.8097
0.8421052631578947,0.05263157894736842,5,0.8145999999999999
0.8421052631578947,0.07894736842105263,5,0.8153
0.8421052631578947,0.10526315789473684,5,0.7625000000000001
0.8421052631578947,0.13157894736842105,5,0.7750999999999999
0.8421052631578947,0.15789473684210525,5,0.7188
0.8421052631578947,0.18421052631578946,5,0.6745000000000001
0.8421052631578947,0.21052631578947367,5,0.6554
0.8421052631578947,0.23684210526315788,5,0.6775
