tau,delay,p,q,mean_final_epidemic_fraction,std_final_epidemic_fraction
3,0.0,0.3333333333333333,0.0,0.874,0.02073644135332774
3,0.0,0.3333333333333333,0.020833333333333332,0.8640000000000001,0.10014988766843426
3,0.0,0.3333333333333333,0.041666666666666664,0.874,0.09343446901438464
3,0.0,0.3333333333333333,0.0625,0.8220000000000001,0.1219426094521517
3,0.0,0.3333333333333333,0.08333333333333333,0.826,0.0991463564635635
3,0.0,0.3333333333333333,0.10416666666666666,0.792,0.09364827814754523
3,0.0,0.3333333333333333,0.125,0.8100000000000002,0.10124228365658294
3,0.0,0.3333333333333333,0.14583333333333331,0.756,0.1291510743277035
3,0.0,0.3333333333333333,0.16666666666666666,0.6719999999999999,0.18033302526159758
3,0.0,0.3333333333333333,0.1875,0.5880000000000001,0.10733126291998991
3,0.0,0.3333333333333333,0.20833333333333331,0.618,0.11903780911962382
3,0.0,0.3333333333333333,0.22916666666666666,0.5639999999999998,0.10830512453249845
3,0.0,0.3333333333333333,0.25,0.67,0.07314369419163898
3,0.0,0.3333333333333333,0.2708333333333333,0.6619999999999999,0.1473770674155243
3,0.0,0.3333333333333333,0.29166666666666663,0.5920000000000001,0.1364551208273255
3,0.0,0.3333333333333333,0.3125,0.5200000000000001,0.183166590840142
3,0.0,0.3333333333333333,0.3333333333333333,0.46799999999999997,0.17852170736355846
3,0.0,0.3333333333333333,0.35416666666666663,0.48599999999999993,0.19125898671696448
3,0.0,0.3333333333333333,0.375,0.438,0.14567086187704115
3,0.0,0.3333333333333333,0.3958333333333333,0.492,0.15514509338035798
3,0.0,0.3333333333333333,0.41666666666666663,0.418,0.16330952207388277
3,0.0,0.3333333333333333,0.4375,0.31,0.07516648189186453
3,0.0,0.3333333333333333,0.4583333333333333,0.29,0.051478150704935
3,0.0,0.3333333333333333,0.47916666666666663,0.32,0.058309518948453
3,0.0,0.3333333333333333,0.5,0.29200000000000004,0.06300793600809347
3,0.0,0.375,0.0,0.874,0.02073644135332774
3,0.0,0.375,0.020833333333333332,0.8640000000000001,0.10014988766843426
3,0.0,0.375,0.041666666666666664,0.8799999999999999,0.0972111104761179
3,0.0,0.375,0.0625,0.8779999999999999,0.0887130204648675
3,0.0,0.375,0.08333333333333333,0.8620000000000001,0.09148770409186144
3,0.0,0.375,0.10416666666666666,0.8480000000000001,0.06140032573203502
3,0.0,0.375,0.125,0.804,0.12481987021303942
3,0.0,0.375,0.14583333333333331,0.7060000000000001,0.16102794788483146
3,0.0,0.375,0.16666666666666666,0.714,0.1463898903613224
3,0.0,0.375,0.1875,0.6940000000000002,0.1919114379082185
3,0.0,0.375,0.20833333333333331,0.65,0.24248711305964282
3,0.0,0.375,0.22916666666666666,0.5559999999999999,0.1795271567200907
3,0.0,0.375,0.25,0.558,0.13773162309360912
3,0.0,0.375,0.2708333333333333,0.51,0.227705950734714
3,0.0,0.375,0.29166666666666663,0.49799999999999994,0.14652644812456214
3,0.0,0.375,0.3125,0.4539999999999999,0.17742604092973496
3,0.0,0.375,0.3333333333333333,0.48200000000000004,0.18471599822430104
3,0.0,0.375,0.35416666666666663,0.5539999999999999,0.23383755044902432
3,0.0,0.375,0.375,0.392,0.15865055940651454
3,0.0,0.375,0.3958333333333333,0.382,0.14822280526288792
3,0.0,0.375,0.41666666666666663,0.342,0.11713240371477059
3,0.0,0.375,0.4375,0.35000000000000003,0.13266499161421602
3,0.0,0.375,0.4583333333333333,0.27999999999999997,0.07382411530116699
3,0.0,0.375,0.47916666666666663,0.27999999999999997,0.07382411530116699
3,0.0,0.375,0.5,0.272,0.07563068160475615
3,0.0,0.41666666666666663,0.0,0.874,0.02073644135332774
3,0.0,0.41666666666666663,0.020833333333333332,0.8240000000000001,0.10212737145349429
3,0.0,0.41666666666666663,0.041666666666666664,0.844,0.10114346246792227
3,0.0,0.41666666666666663,0.0625,0.8239999999999998,0.0912688336728371
3,0.0,0.41666666666666663,0.08333333333333333,0.8020000000000002,0.16604216332004348
3,0.0,0.41666666666666663,0.10416666666666666,0.828,0.06610597552415365
3,0.0,0.41666666666666663,0.125,0.746,0.11781341180018513
3,0.0,0.41666666666666663,0.14583333333333331,0.764,0.16979399282660151
3,0.0,0.41666666666666663,0.16666666666666666,0.774,0.0773304597167248
3,0.0,0.41666666666666663,0.1875,0.6799999999999999,0.1124722187920199
3,0.0,0.41666666666666663,0.20833333333333331,0.5519999999999999,0.13700364958642525
3,0.0,0.41666666666666663,0.22916666666666666,0.6279999999999999,0.2113527856452334
3,0.0,0.41666666666666663,0.25,0.518,0.141315250415516
3,0.0,0.41666666666666663,0.2708333333333333,0.4699999999999999,0.09082951062292476
3,0.0,0.41666666666666663,0.29166666666666663,0.504,0.19449935732541637
3,0.0,0.41666666666666663,0.3125,0.514,0.2175545908502048
3,0.0,0.41666666666666663,0.3333333333333333,0.45,0.22405356502408083
3,0.0,0.41666666666666663,0.35416666666666663,0.398,0.14481022063376603
3,0.0,0.41666666666666663,0.375,0.41999999999999993,0.17507141400011597
3,0.0,0.41666666666666663,0.3958333333333333,0.35600000000000004,0.12116104984688769
3,0.0,0.41666666666666663,0.41666666666666663,0.32799999999999996,0.16130716041143367
3,0.0,0.41666666666666663,0.4375,0.322,0.17977764043395386
3,0.0,0.41666666666666663,0.4583333333333333,0.314,0.16211107303327554
3,0.0,0.41666666666666663,0.47916666666666663,0.282,0.09230384607371461
3,0.0,0.41666666666666663,0.5,0.302,0.14078352176302453
3,0.0,0.4583333333333333,0.0,0.874,0.02073644135332774
3,0.0,0.4583333333333333,0.020833333333333332,0.8240000000000001,0.10212737145349429
3,0.0,0.4583333333333333,0.041666666666666664,0.844,0.10114346246792227
3,0.0,0.4583333333333333,0.0625,0.8299999999999998,0.09823441352194254
3,0.0,0.4583333333333333,0.08333333333333333,0.756,0.13722244714331544
3,0.0,0.4583333333333333,0.10416666666666666,0.8619999999999999,0.05932958789676532
3,0.0,0.4583333333333333,0.125,0.7739999999999999,0.14240786495134317
